titles,link_to_content,textes,categories
Nanu déjjati : di kàdduy Guy-maris Saañaa !,https://saabal.com/nanu-dejjati-di-kadduy-guy-maris-saanaa/,"['', 'Askanu Senegaal jox na li mu am lépp njiitu réew mi Maki Sàll. Njiitu réew mi Maki Sàll delloowu leen lu dul ñàkkum ndox, ñakk ay fajkat ak ay rewlekat, ñàkk àtte bu jaar yoon bu fekkee sax du nappaaje yoon, luubal suuf, ñàkk i jànguwaay ak ay jàngalekat ak ñàkk leeral ak ñàkk kaaraange…', 'Maa ngi metiitlu bu baax mar wi askan wi di dund ci ñaari jamono yu tombe te metti yii di koronaawiris ak tàngaay wi. Nanu wattu la daloon waa Kaps-Kiriŋ:', 'Juróom-benni fan ci noowàmbar ci atum 2019, FRAPP ak «\xa0Forum sósyaal Senegale\xa0» amaloon nañu am ndaje ak taskati xibaar yi ngir xamle seen ñàkk a ànd ci ni ñu joxe waa «\xa0SUEZ\xa0» yorug ndox mu Senegaal.', '«\xa0SDE\xa0» gaaraloon na juróom fukk ak juróom ñaari dërëm yu tombal juróom ñent (285,9) ci m3 bu nekk. Ca jamono jooja SUEZ mu ngi gaaraloon juróom benn fukk yu néew benn fiftin bu tombal juróom (298,5) ci sunu xaalis ci m3. Ci fukk ak juróomi (15) at, loolu dina tax ñu ñàkk juróom fukki milyaar ci sunu xaalis bunu àndee ak Sues.', 'Lii nag moo waral bettuma benn yoon tay may dégg ñuy ruumandaat yokkute jëgu ndox mi te askan wi di jaar fu nekk ngir man koo am sax.', 'Ginnaaw loolu bu ñu gisee ni faktiiri ndox mi yokkoo, nguur gi day def ak «\xa0SEN’EAU\xa0» na mu defoon ak «\xa0SENELEC\xa0». Lu jëm ci mbëj gi, nguur gi daf koo yokk laataa lél ba mu joxe woon ngir yokk gi. Lu jëm ci ndox mi nguur gi daf koo yokk te yëgalu ko sax askan wi.', 'Laaj bi gën a am solo nag feneen la nekk, ci jamono ji ñuy jël yorug ndox mi di ko jox gox-ngoxaan te war a móomale ndox mi waa réew mi, doy na waar lool ci Afrig ñuy jaay ndox ay jàmbur te ñépp xam nañu ne ci at yii di ñëw ndox mooy doon liy waral xare yu bari di am. Li nu soxla du «\xa0SEN’EAU\xa0» waaye sunu ndox ngir aar sunu askan.', 'Ngir ñu sampal la ci ndoxum SUEZ mi, dangay joxe ñeen-fukki junni ak juróom benn ak ñaari téeméer(231 000) te SDE mi ngi doon laaj fukki junni ak juróom ñatt (90 000).', '«\xa0SUEZ\xa0» mayoon na ay sëfaan farab Ndar bi te moom moomu gurob Maki Sàll la te doonoon fi jëwriñ ji yore ndox mi ca jamono jooja.Ndax dañoo geroon Maasuur Fay ?', 'Foofu, ag xëccoo ci njariñ gu jëm ci jox lijjanti gii di «\xa0SUEZ\xa0» yorug ndoxum Senegaal gi te mu defaroon Kër-Momar Saar 3, terewuloon Maki Sàll ak goroom boobu ñu jël ndoxum Senegaal daaldi koy jox SUES.', 'Looloo war tax nu déjjati lépp loo xam ne moo yor turi mbéefarkat ak xeetalkat yi; waaye war nañoo dàjji itam noteel gu bees gi ak it ñi ko fi teewal ci Afrig.War nañoo déjjatu xelum nooteel gi ak nangoo doon jaam gi ak nangu noteel gi.War nañoo tuddaat sunu bayaal yi waaye war nañoo jëm itam ci «\xa0moom sa réew\xa0».', 'Féexalleen Abdu Kariim Géy Xurum-xàq', 'Albatros ak Habiibul Xadiim Géy  ak Móomi Jóob', 'Partager la publication ""Nanu déjjati : di kàdduy Guy-maris Saañaa !""']",gis-gis
Xare diggante Wiyetnaam ak Amerig: tontuy Muhammat Aali jamono ja ñu ko bëggee yóbb ca kàrce ga ngir mu xeexi.,https://saabal.com/xare-diggante-wiyetnaam-ak-amerig-tontuy-muhammat-aali-jamono-ja-nu-ko-beggee-yobb-ca-karce-ga-ngir-mu-xeexi/,"['', '«\xa0Duma làqatu nag. Duma lakk it raaya yi. Duma daw duma daay  mbaa may làquji Kanadaa. Fii laay des. Du danga maa bëgg a yóbb duŋŋ-Siin ? Waaw Bismilaah man maa ngi kaso ci diirub  ñenti téeméeri (400) at. Ta it man naa cee wéy ba juróomi téeméeri (500) at mbaa lu ko ëpp, waaye duma séqi ab jéego luy tollu ci fukki junniy (10 000) jun-ñay ngir jàppale leen ngeen di néewal doole ay néew doole mbaa di leen faat «\xa0.', '', '\xa0» Suma bëggee faatu daal, fii laay faatoo, jàmmaarloo ak yaw. Yaw yaay samab noon, du saa-siin yi mbaa wiyet-koŋ, mbaa saa-sapoŋ yi. Taw, yaw ci sa bopp, yaay ki ma noonoo jamono ba nga xamee  ne maa ngi bëgg a jot samag yaataay. Yaw yaay ki may gàllankoor jamono ja ma bëggee Yoon di Yoon.\xa0»', '\xa0» Yaw yaay ki nasaxal samay mébét jamano ja ma bëggee ag yamale. Dangaa bëgg ma dem fenn ci àddina si ?', 'Moo ne fii ci Amerig sax aaroo samay àq ak sam gëm-gëm. Foofu sax sori na fii ci sama kër gii sax aaroo ma fi\xa0».', 'Kaasus Kaley di Muhammet Aali', 'Leeral: duŋŋ-Siin: prison / jun-ñay: kilométre', 'Tekkikat bi: Àlliyun Jóob / bindkat bi: Habiibul Xadiim Géy ', 'Partager la publication ""Xare diggante Wiyetnaam ak Amerig: tontuy Muhammat Aali jamono ja ñu ko bëggee yóbb ca kàrce ga ngir mu xeexi.""']",gis-gis
Aw làkk dafay dox… dëppoo ca am solo,https://saabal.com/aw-lakk-dafay-dox-deppoo-ca-am-solo/,"['Sapoŋ mi bokk ci réew yi gën a xerañ ci ndefar ug jumtukaayu xarala yi ak yu kër yi gën a ñoŋ ci àddina si ba ñépp xam ko, lu tax sosuñu ay waat yu yees ngir tudd jumtukaay yooyu?', 'Dañuy jëfandikoo ay waati Àngale yu ñu waxee ca seenug koj. Gisees na ne ba ci seen téere yi ñuy mbind sax dañu ciy aajar lu ni mel ngir xamle ko. Leneen lees ci gendiku sax mooy réewum Sapoŋ yattul i waat ngir tudd ay jumtukaay yu ci mel ni aypaat tablet ak waat yii di ñëw dañu koo jële ci Àngale daa di koy Saponeel ngir man koy jëfandikoo :', 'Moo tax nun it nu war yombal xam-xam sunuy ndaw ngir gën a man a teel a peeg jumtukaay yii nga xam ne jamono da koo soxla te maneesu koo ñàkk, nekk fi nag di ko fentaat gudal aw yoon lay doon ci lol manoon naa ñàkk.Fexe ba li nu amul nu jëli ko fof am na fa te gànjaru na ba man koo boole ci li nu am mu jariñ nu ?', 'Ndax jotul nu soppi xalaatin ci ne sunu làkk yii amul waatu xam-xam yi ? Niral gi mooy Sapoŋ mii nu jël nga xam ne waat ya Àngale yaa ko moom waaye xam-xam bay defar jumtukaay ba tur woowa di wuyoo ñoom ñoo koy yor ?', 'Lan moo waral manu noo jànge ci suniy làkk te laltaay gi nekk fi ba noppi, xam-xam ba mu ëmb it ne fi, ba tay loolu ndax jëmul ci bëgg a naxasal sunu làkk yi? Wéyal fi làkku doxandéem yi?Ci lëkkalekaay yi ñu taf fii ci suuf man ngeen a xoolal seen bopp mbaa ngeen déglu tekki gi ñu def ci waati yeneen réew yi ci làkku saa-sapoŋ yi :', '1)https://www.google.com/search?q=japanese+to+english&oq=jap&aqs=chrome.3.69i57j46l2j0j69i65.3672j0j9&client=ms-android-a1-gm-rev2&sourceid=chrome-mobile&ie=UTF-8', '2)https://www.japanesepod101.com/japanese-dictionary/', 'Albatros ', 'Partager la publication ""Aw làkk dafay dox… dëppoo ca am solo""']",gis-gis
Kàdduy Paab Jibril Faal daw na yaram ndax dëgg du romb i nopp,https://saabal.com/kadduy-paab-jibril-faal-daw-na-yaram-ndax-degg-du-romb-i-nopp/,"['Partager la publication ""Kàdduy Paab Jibril Faal daw na yaram ndax dëgg du romb i nopp""']",gis-gis
Ahmadu Baas – Taalibe bi dem « palais » di yalwaan,https://saabal.com/ahmadu-baas-taalibe-bi-dem-palais-di-yalwaan/,"['Partager la publication ""Ahmadu Baas – Taalibe bi dem «\xa0palais\xa0» di yalwaan""']",gis-gis
☢️ Allaahu akbar – Yal nanu Yàlla musal,https://saabal.com/%e2%98%a2%ef%b8%8f-allaahu-akbar-yal-nanu-yalla-musal/,"['Partager la publication ""☢️ Allaahu akbar – Yal nanu Yàlla musal""']",gis-gis
BATAAXELU BENN MA-RÉEW BU JËM CI JËWRIÑU PAJ MI CI RÉEW MI,https://saabal.com/bataaxelu-benn-ma-reew-bu-jem-ci-jewrinu-paj-mi-ci-reew-mi/,"['', '°°° Abdu Laahi Juuf Saar, man naa am yaa ngi may topp.  Maa ngi lay digal nga bañ a tàbbi ci ndëgg-sërëxu joxe ay lim yu dul dëgg ngir ne dangay bañ a tiital waa réew mi.', '••• Bu fekkee def nga ko it bis dina ñëw nga wax ne mbir mi ëpp nanu doole te su boobaa tiitaange gi dina dàj réew mi kàpp.', '••• Xam naa ne jamono jii peegóo mbir mi waaye bul déglu ñi lay fen, lu ko moy sa tur wi dina des ci mboor niki njëwriñ ji gën a bon te yor pàj mi ci réew mi. ', '••• Tolluwaayu jamono jii dafa rëy nekkal ku dëggu te nga wax ak njiitu réew mi ci loo dul nëbb dara ci lu dul i fen niki lépp baax na walla peeg nañu mbir mi.', '••• Ay mbir a ngi xew ci suuf yu war a am njeexital yu rëy. Bu fekkee amna ku lay wax naan la lépp jàmm man nga koo faagaagal jamono jii. Taxawal jonn janoo ak mbir mi. ', '••• Bul ragal a dugg ci géew gi. Bu fekkee ne njort nga ne ëpp na la doole demal jegeji njëwriñ gi yor biir réew mi ak xare bi ngir tëj nit ñi ak wàññi dem ak dikk bi.', 'Albatros ak Daam Faal', 'Partager la publication ""BATAAXELU BENN MA-RÉEW BU JËM CI JËWRIÑU PAJ MI CI RÉEW MI""']",gis-gis
BATAAXEL BU NATALI YÀMB JËM CI NOONI AFRIG YI,https://saabal.com/bataaxel-bu-natali-yamb-jem-ci-nooni-afrig-yi/,"['', 'Gisoon naa ñuy bànneexu bi ñu génne Kemi Sebaa ci Senegaal. Gisoon naa ñuy bànneexu bi ñu ma génne Kodiwaar. Gisoon naa ñu am mbégte mu rëy ci xëttug sañ-sañ ak yelleefi doomu aadama. Buñu nu tëjee ay waxtu, amul lekk, amul naan, dem wanag waxeesu ko, amul jokkoo ak ñi nekk ci bitti, ñoom ñoo nga ca bànneex. Buñu nu bañalee teewaayu sunuy layookat, ñoom ñuy ree. Buñu nu teqalee ak sunuy njaboot, sunuy xarit, sunuy liggéey, sunuy suuf, ñoom ñu ngay kekku.', 'Ta moone de, jëlu nu ay ngànnaay, dàjjiwunu ay bànk, sàccunu xaalis, walla jël bakkanu kenn. Moom (Kemi Sebaa), deful lu dul taal wenn këyitu junni (5000 fcfa). Man nag, damaa wax juróom ñaari simili ca Sotsi. Lii rekk doy na ngir defees nu noon yu njëkk yu Farãas-Afrig ak pung yiy tàccu  njaaxumi mafiyaa boobu.', 'Ta moone de, ngir ñoom itam, seen i doom, ngir képp ku ñuy xeex tay te di bànneexu ci sunuy mettiit ak di nu ko def, ñoom ñoo tax nuy xeex. Yoon wi bari ay pakk. Te yen bi diis. Waaye terewul nuy dem.', 'Ñoom dinañu mas a nàndi. Bis a ngi ci bis yi, buñu nu bóomul njëkk, ñoom dinañu maaj sunu kanam.', 'JongomaySotsi', 'Partager la publication ""BATAAXEL BU NATALI YÀMB JËM CI NOONI AFRIG YI""']",gis-gis
Maki Sàll dàqul benn yoon lël nit ñi,https://saabal.com/maki-sall-daqul-benn-yoon-lel-nit-ni/,"['Ginnaaw bi ko jëwriñ ji yor paj mi waxee ba noppi, njiitu réew mi Maki Sàll jaaraat na ci ci bisub gaawu gi :« Limub jarag yiy wér dal na xel, waaye warul tax nu naagu ci xeex bi nuy xeex koronaawiris bi » .Ci bi muy jot ndimbal li ñu jagleel ñi néew doole démb, Maki Sàll waxe na nu dëgër : « Bu fekkee ne sàmmontewunu ak digle yi, dinanu jëm cig lëlu ».', 'Njiitu réew mi, niki Abdu Laay JUUF SAAR wane na aw naqaram ci ndaje yi nga xam ne ñooy am ci weti tefes yi ginnaaw bi nguur gi tere mépp mbooloo ci réew mi.', 'Leeral:Lëlu= confinementNguur g= gouvernement', 'Albatros ak Saasumaan bi ', '', 'Partager la publication ""Maki Sàll dàqul benn yoon lël nit ñi""']",koom
DOGAL YI MAKI SÀLL JËL MU JËM CI ASKAN WI,https://saabal.com/dogal-yi-maki-sall-jel-mu-jem-ci-askan-wi/,"[' Njiitu réew mi yëgle na démb ci ba muy àddu ci farañse jëme ko ci askan wi ci ñatti fan ci awril,  ay dogal yu jëm ci dimbali njaboot yi nga xam ne ñoom la tawati koronaawiris ji laal ci jëmm walla ci seen alal nii la deme :', ' « Njiitu réew mi dina ci dugale loxoom nii fukk ak juróomi milyaar ak xaaj (15,5 milyaar) ngir ñu fay ci mbëjug njaboot yi néew doole ci diirub ñatti weer mu tolloo ak juróom-ñenti téeméer ak juróom-ñaar fukk ak juróom junni yu teg juróomi-téeméer ak ñaar-fukk ak ñaari (975 572) kër. Ñatti (3) milyaar ngir fay ndox mi mu tollu ci juróom-benni téemeer ak juróom-benn fukk ak ñaari-junniy (662 000) kër ci ñi néew doole ci diirub ñatti weer. Juróom-benni fukki (60) milyaar yoy dañu koy jagleel ab dund jox ko lu tollu ci benn milyoŋi njaboot. Fukk ak ñaari milyaar ak xaaj ngir dimbali MÓODU-MÓODU yi ».', 'Albatros ak Saasumaan bi ', 'Partager la publication ""DOGAL YI MAKI SÀLL JËL MU JËM CI ASKAN WI""']",koom
Koronaawiris- Tuubaa,https://saabal.com/koronaawiris-tuubaa/,"['Dee-calaw bu Ndaam ca Tuubaa rotal ab dogal bu jëm ci tëjji ja bu 6 waxtu jotee te di leen tëj bu 15 waxtu jotee.', 'Dee-calaw : sous-préfet / ja b: marché', 'Albatros ', 'Partager la publication ""Koronaawiris- Tuubaa""']",koom
Donaal Tërëmp xaatim na am pexe ngir suqali Amerig,https://saabal.com/donaal-teremp-xaatim-na-am-pexe-ngir-suqali-amerig/,"['Njiitu réewum Amerig di Donaal Tërëmp xaatim na ci àjjuma ji am pexe ngir suqali réew ma te koppar ya tollu ci ñaari junni milyaar (2000) ci dolaar. Ngomblaan ga nangu na ko ngir dooleel koomum réew mi ëpp doole ci àddina si te koronaawiris bi bëgg koo daaneel.', '«\xa0Noon buñu gisul moo dal sunu kaw te ni mu dalee sunu kaw dafa metti\xa0» di leen ci kàdduy Njiitu réew ma ca jàmono ja muy xaatime dogal boobu.', 'Moom nag njort na ne  réew ma dina suqalikuwaat bu baax a baax ànd ak naataange ginnaaw buñu daanee jàngoro ji di koronaawiris.', 'Albatros ak Abdu Salaam Saar ', 'Partager la publication ""Donaal Tërëmp xaatim na am pexe ngir suqali Amerig""']",koom
